Copernican ideology.,কোপারনিকান মূলনীতি
it is all about winning the world,বস্তুসমূহের কম্পাংক বর্ণালী গ্রহণ করার মাধ্যমে এটি প্রমাণিত হয়েছে।
The stress strength with the help of the Tensor is based on the total strength of the earth to do a geometrical work.,পীড়ন-শক্তি টেন্সরের সাহায্যে পরিমাপকৃত মহাবিশ্বের মোট শক্তির পরিমাণের উপর নির্ভর করে কোন ধরণের জ্যামিতি কাজ করবে।
The matrix expansion of the universe,মহাবিশ্বের মেট্রিক সম্প্রসারণ
For a complex number a and b is known as the real and imaginary part respectively.,a ও b-কে যথাক্রমে জটিল সংখ্যার বাস্তব অংশ এবং কাল্পনিক অংশ বলা হয়।
"Through this theorem, with the help of complex number, solution can be obtained of polynomials of one more degree.",এই উপপাদ্য অনুসারে জটিল সংখ্যার সাহায্যে এক বা একের বেশী মাত্রার যে কোন বহুপদী সমীকরণের সমাধান খুঁজে বের করা সম্ভব।
The real number 'a' is called the real part of the complex number and the real number b is called the imaginary part of the complex number.,বাস্তব সংখ্যা a কে বলা হয় জটিল সংখ্যাটির বাস্তব অংশ এবং বাস্তব সংখ্যা b কে বলা হয় জটিল সংখ্যাটির কাল্পনিক অংশ।
Domain Coloring Process,ডোমেইন কালারিং পদ্ধতিতে
The Complex Plane or the Zed Plane is used for complex numbers.,জটিল সংখ্যার ক্ষেত্রে ব্যবহার করা হয় জটিল সমতল বা জেড প্লেন।
Two complex number will be equal if the refer same point on a complex surface.,দুইটি জটিল সংখ্যা এবং সমান হবে যদি তারা জটিল সমতলে একই বিন্দু নির্দেশ করে।
Any complex number can be written in with the previous addition rule and according to the before said law if we calculate then we get.,যে কোন জটিল সংখ্যা কে একটু আগে বর্ণিত যোগের নিয়ম অনুসারে লেখা যেতে পারে এবং পূর্বেবর্ণিত গুনন এর নিয়ম অনুযায়ী একটু হিসাব করলেই আমরা পেতে পারি ।
Algebraic process.,বীজগাণিতিক ভিত্তিতে
"To be said concretely, for the complex numbers:",নির্দিষ্ট করে বললে জটিল সংখ্যাগুলির জন্য:
Complex Plane and its conjugal is presented geometrically.,জটিল সমতলে এবং এর কনজুগেট এর জ্যামিতিক প্রকাশ।
Her z and w are any complex number,এখানে z এবং w যেকোন জটিল সংখ্যা।
"Addition, multiplication and brackets operations of the complex numbers usually follow the rules of common geometry.",জটিল সংখ্যার যোগ গুণ এবং অনুবন্ধীকরণ অপারেশন গুলো সাধারণ জ্যামিতিক ব্যাখ্যা মেনে চলে।
"Greater than equal to 0 which is called the extreme value or modulus and φ = arg(z) which is called the argument of z or angle, if r = 0, then z indicates the same point for any value of φ.",≥ 0 যেটাকে বলা হয় পরম মান বা মডুলাস এবং φ = arg(z) যেটাকে বলা হয় z এর আর্গুমেন্ট অথবা অ্যাঙ্গেল. যদি r = 0 হয় তখন φ এর যেকোন মানের জন্যই z একই বিন্দু নির্দেশ করে।
